country,confirmed,death,recovered,active,population
Afghanistan,39170,1451,32619,5100,38041754
Albania,12921,370,7239,5312,2854191
Algeria,50579,1703,35544,13332,43053054
Andorra,1753,53,1203,497,77142
Angola,4475,162,1503,2810,31825295
Antigua and Barbuda,97,3,92,2,97118
Argentina,678266,14766,536589,126911,44938712
Armenia,48251,945,43266,4040,2957731
Australia,27000,869,24523,1608,25364307
Austria,40816,783,31661,8372,8877067
Azerbaijan,39686,581,37255,1850,10023318
Bahamas,3699,86,1962,1651,389482
Bahrain,67701,231,60853,6617,1641172
Bangladesh,355384,5072,265092,85220,163046161
Barbados,189,7,174,8,287025
Belarus,76651,802,73733,2116,9466856
Belgium,108768,9965,19123,79680,11484055
Belize,1706,22,1019,665,390353
Benin,2325,40,1954,331,11801151
Bhutan,263,0,198,65,763092
Bolivia,132618,7765,92101,32752,11513100
Bosnia and Herzegovina,26316,802,19142,6372,3301000
Botswana,2921,16,701,2204,2303697
Brazil,4657702,139808,4102954,414940,211049527
Brunei,146,3,142,1,433285
Bulgaria,19573,785,14013,4775,6975761
Burkina Faso,1950,56,1260,634,20321378
Myanmar,8515,155,2381,5979,54045420
Burundi,477,1,462,14,11530580
Cabo Verde,5479,55,4917,507,549935
Cambodia,275,0,274,1,16486542
Cameroon,20712,418,19440,854,25876380
Canada,151087,9297,130576,NA,37589262
Central African Republic,4804,62,1837,2905,4745185
Chad,1171,82,1003,86,15946876
Chile,451634,12469,426876,NA,18952038
China,90424,4738,85323,363,1397715000
Colombia,790823,24746,662277,103800,50339443
Comoros,474,7,453,14,850886
"Congo, Rep.",5005,89,3887,1029,5380508
"Congo, Dem. Rep.",10555,271,10051,233,86790567
Costa Rica,69459,795,26554,42110,5047561
Cote d'Ivoire,19501,120,19003,378,25716544
Croatia,15572,261,14111,1200,4067500
Cuba,5310,118,4613,579,11333483
Cyprus,1663,22,1369,272,1198575
Czech Republic,58374,567,27382,30425,10669709
Denmark,25385,645,19076,5664,5818553
Djibouti,5407,61,5339,7,973560
Dominica,24,0,18,6,71808
Dominican Republic,110122,2076,84018,24028,10738958
Ecuador,131146,11213,102852,17081,17373662
Egypt,102513,5835,92644,4034,100388073
El Salvador,28201,823,22326,5052,6453553
Equatorial Guinea,5018,83,4530,405,1355986
Estonia,3076,64,2395,617,1326590
Eswatini,5375,108,4724,543,1148130
Ethiopia,71687,1148,29461,41078,112078730
Fiji,32,2,28,2,889953
Finland,9379,343,7850,1186,5520314
France,536289,31524,95980,408785,67059887
Gabon,8716,54,7906,756,2172579
Gambia,3552,110,2012,1430,2347706
Georgia,4399,26,1705,2668,3720382
Germany,281346,9436,247766,24144,83132799
Ghana,46222,299,45417,506,30417856
