model_name,make_year,car_price,car_description,location,car_colour
Ford Fusion,2019,17485,"No accidents, 1 Owner, Fleet use","Boise, ID","Gray exterior, Black interior"
Ford Fusion,2019,16500,"No accidents, 1 Owner, Personal use","Wilson, NC","Gray exterior, Black interior"
Ford Fusion,2017,11990,"No accidents, 1 Owner, Fleet use","Hempstead, NY","Black exterior, Unknown interior"
Ford Fusion,2013,9494,"No accidents, 2 Owners, Fleet use","Mechanicsville, VA","White exterior, Black interior"
Ford Fusion,2019,16000,"No accidents, 2 Owners, Fleet use","Manning, SC","Black exterior, Black interior"
Ford Fusion,2013,6500,"No accidents, 2 Owners, Personal use","Chesapeake, VA","Black exterior, Black interior"
Ford Fusion,2015,8000,"No accidents, 3 Owners, Personal use","Lubbock, TX","Black exterior, Black interior"
Ford Fusion,2014,11990,"No accidents, 3 Owners, Fleet use","Blue Mound, TX","White exterior, Gray interior"
Ford Fusion,2017,8997,"1 accident, 2 Owners, Personal use","Deland, FL","Black exterior, Gray interior"
Ford Fusion,2015,9999,"1 accident, 2 Owners, Fleet use","Morehead City, NC","White exterior, Beige interior"
Ford Fusion,2015,8990,"No accidents, 2 Owners, Fleet use","Greensboro, NC","Black exterior, Unknown interior"
Ford Fusion,2013,6998,"No accidents, 3 Owners, Personal use","Mesa, AZ","Black exterior, Unknown interior"
Ford Fusion,2019,13697,"No accidents, 1 Owner, Personal use","Chesapeake, VA","Gray exterior, Black interior"
Ford Fusion,2019,16397,"No accidents, 1 Owner, Personal use","Nashville, TN","Silver exterior, Black interior"
Ford Fusion,2014,12929,"No accidents, 2 Owners, Personal use","San Antonio, TX","Gray exterior, Black interior"
Ford Fusion,2014,4987,"2 accidents, 3 Owners, Personal use","Reading, PA","Gray exterior, Beige interior"
Ford Fusion,2010,4900,"No accidents, 2 Owners, Personal use","Chesapeake, VA","Gray exterior, Gray interior"
Ford Fusion,2016,9499,"No accidents, 2 Owners, Fleet use","Dallas, TX","Gray exterior, Black interior"
Ford Fusion,2014,7588,"No accidents, 1 Owner, Personal use","Lake Elsinore, CA","Red exterior, Unknown interior"
Ford Fusion,2010,3200,"No accidents, 4 Owners, Personal use","Cedar Falls, IA","Blue exterior, Black interior"
Ford Fusion,2019,15997,"No accidents, 1 Owner, Personal use","Baton Rouge, LA","White exterior, Black interior"
Ford Fusion,2019,14525,"No accidents, 2 Owners, Personal use","Delavan, WI","Black exterior, Black interior"
Ford Fusion,2012,6990,"No accidents, 2 Owners, Fleet use","Spartanburg, SC","White exterior, Gray interior"
Ford Fusion,2015,8900,"1 accident, 2 Owners, Personal use","Houston, TX","Gray exterior, Black interior"
Ford Fusion,2019,13797,"No accidents, 1 Owner, Personal use","Murray, UT","Black exterior, Unknown interior"
Ford Fusion,2010,5629,"1 accident, 2 Owners, Personal use","Everett, WA","White exterior, Black interior"
Ford Fusion,2013,4900,"1 accident, 3 Owners, Fleet use","Fort Wayne, IN","Gold exterior, Beige interior"
Ford Fusion,2020,14197,"No accidents, 1 Owner, Personal use","Dallas, TX","Gray exterior, Black interior"
Ford Fusion,2010,5495,"No accidents, 1 Owner, Personal use","Cary, NC","Black exterior, Beige interior"
Ford Fusion,2012,4750,"1 accident, 3 Owners, Personal use","Mt. Juliet, TN","Silver exterior, Black interior"
Ford Fusion,2008,3349,"No accidents, 4 Owners, Fleet use","Loveland, CO","Black exterior, Black interior"
Ford Fusion,2016,7996,"No accidents, 2 Owners, Fleet use","Holly Springs, GA","Red exterior, Black interior"
Ford Fusion,2013,12990,"No accidents, 2 Owners, Fleet use","Blue Mound, TX","Black exterior, Black interior"
Ford Fusion,2019,14992,"No accidents, 2 Owners, Personal use","Seattle, WA","Gray exterior, Black interior"
Ford Fusion,2014,7500,"1 accident, 2 Owners, Personal use","Lawrenceville, GA","Black exterior, Unknown interior"
Ford Fusion,2010,4495,"1 accident, 3 Owners, Personal use","Garland, TX","Black exterior, Unknown interior"
Ford Fusion,2013,7977,"No accidents, 3 Owners, Personal use","Covington, KY","White exterior, Beige interior"
Ford Fusion,2010,5991,"No accidents, 4 Owners, Fleet use","Mesa, AZ","Silver exterior, Gray interior"
Ford Fusion,2017,8500,"1 accident, 1 Owner, Personal use","Savannah, GA","Black exterior, Gray interior"
Ford Fusion,2012,8990,"No accidents, 3 Owners, Personal use","Blue Mound, TX","White exterior, Gray interior"
Ford Fusion,2013,7998,"No accidents, 3 Owners, Personal use","Sacramento, CA","White exterior, Gray interior"
Ford Fusion,2015,9995,"No accidents, 2 Owners, Fleet use","Costa Mesa, CA","Gray exterior, Black interior"
Ford Fusion,2016,10000,"No accidents, 1 Owner, Personal use","Downers Grove, IL","White exterior, Black interior"
Ford Fusion,2009,4238,"1 accident, 2 Owners, Personal use","Rochester Hills, MI","White exterior, Black interior"
Ford Fusion,2015,7995,"No accidents, 1 Owner, Personal use","Chesapeake, VA","White exterior, Gray interior"
Ford Fusion,2011,6950,"No accidents, 1 Owner, Personal use","Concord, CA","Blue exterior, Gray interior"
Ford Fusion,2017,7995,"No accidents, 3 Owners, Fleet use","Mesa, AZ","Black exterior, Black interior"
Ford Fusion,2010,5995,"No accidents, 2 Owners, Personal use","Chantilly, VA","Black exterior, Black interior"
Ford Fusion,2012,4995,"No accidents, 5 Owners, Fleet use","Oklahoma City, OK","Silver exterior, Unknown interior"
Ford Fusion,2018,12000,"No accidents, 2 Owners, Personal use","Downers Grove, IL","Black exterior, Black interior"
Ford Fusion,2016,8699,"No accidents, 2 Owners, Personal use","Lindon, UT","Silver exterior, Black interior"
Ford Fusion,2020,16397,"No accidents, 1 Owner, Personal use","Nashville, TN","White exterior, Black interior"
Ford Fusion,2019,13990,"No accidents, 1 Owner, Fleet use","San Diego, CA","White exterior, Black interior"
Ford Fusion,2017,13558,"No accidents, 1 Owner, Personal use","Rock Springs, WY","Silver exterior, Black interior"
Ford Fusion,2014,7777,"No accidents, 3 Owners, Personal use","Clearwater, FL","Gray exterior, Black interior"
Ford Fusion,2016,10000,"No accidents, 1 Owner, Personal use","Palm Beach Gardens, FL","Gray exterior, Black interior"
Ford Fusion,2014,8680,"1 accident, 3 Owners, Personal use","Marietta, GA","Gray exterior, Black interior"
Ford Fusion,2008,2999,"No accidents, 3 Owners, Fleet use","St. Augustine, FL","White exterior, Unknown interior"
Ford Fusion,2011,5000,"No accidents, 3 Owners, Personal use","Jasper, AL","Maroon exterior, Gray interior"
Ford Fusion,2017,10999,"No accidents, 2 Owners, Fleet use","Carol Stream, IL","Blue exterior, Black interior"
Ford Fusion,2013,10595,"No accidents, 2 Owners, Fleet use","North Plainfield, NJ","Unknown exterior, Black interior"
Ford Fusion,2015,10999,"No accidents, 2 Owners, Fleet use","Carol Stream, IL","Black exterior, Black interior"
Ford Fusion,2019,14250,"1 accident, 1 Owner, Personal use","Sacramento, CA","Red exterior, Black interior"
Ford Fusion,2012,3800,"3 accidents, 3 Owners, Fleet use","Greensboro, NC","Unknown exterior, Unknown interior"
Ford Fusion,2013,8101,"No accidents, 4 Owners, Fleet use","Ogden, UT","White exterior, Black interior"
