"id","price","d_baby_monitor","d_baby_safety_gates","d_bathtub","d_bed_linens","d_breakfast","d_building_staff","d_carbon_monoxide_alarm","d_changing_table","d_childrenu2019s_dinnerware","d_cleaning_before_checkout","d_coffee_maker","d_cooking_basics","d_dedicated_workspace","d_dishes_and_silverware","d_elevator","d_essentials","d_ethernet_connection","d_ev_charger","d_extra_pillows_and_blankets","d_fire_extinguisher","d_first_aid_kit","d_game_console","d_garden_or_backyard","d_gym","d_hangers","d_high_chair","d_host_greets_you","d_hot_tub","d_hot_water","d_indoor_fireplace","d_iron","d_kitchen","d_lake_access","d_laundromat_nearby","d_lock_on_bedroom_door","d_lockbox","d_long_term_stays_allowed","d_luggage_dropoff_allowed","d_luggage_store_possible__small_fee__i_wash_your_dishes_enjoy_holiday_my_fridge_in_kitchen","d_microwave","d_nespresso_machine","d_outlet_covers","d_patio_or_balcony","d_private_entrance","d_private_living_room","d_roomdarkening_shades","d_single_level_home","d_smoke_alarm","d_waterfront","d_window_guards","d_sound_agg","d_stove_agg","d_wifi_agg","d_tv_agg","d_oven_agg","d_refrigerator","d_soap_agg","d_bbq_agg","d_toys_agg","d_crib_agg","d_parking_agg","d_shampoo_agg","d_heating_agg","d_washer_agg","d_conditioner_agg","d_dry_agg","f_room_type","f_neighbourhood","f_property_type","n_accommodates","n_bathrooms","n_bedrooms","n_beds","n_minimum_nights","n_number_of_reviews","n_review_scores_rating","ln_price","n_accommodates2","ln_accommodates","f_bathroom","ln_number_of_reviews","f_number_of_reviews","f_minimum_nights","flag_review_scores_rating"
2818,59,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,1,1,0,1,1,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,1,1,1,1,0,1,"Private_room","Oostelijk Havengebied - Indische Buurt","Room_apartment",2,1,1,2,3,278,98,4.07753744390572,4,0.693147180559945,1,5.63121178182137,3,3,0
25428,125,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,0,0,1,1,0,0,0,0,1,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,1,1,0,0,0,0,0,1,1,1,0,1,"Entire_apt","Centrum-West","Entire_apartment",3,1,1,1,14,5,100,4.8283137373023,9,1.09861228866811,2,1.79175946922805,2,3,0
28871,75,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,"Private_room","Centrum-Oost","Room_apartment",2,1,1,1,2,336,97,4.31748811353631,4,0.693147180559945,1,5.82008293035236,3,2,0
31080,219,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,1,1,1,0,0,0,0,0,1,1,1,0,1,"Entire_apt","Zuid","Entire_apartment",4,1,3,3,3,32,95,5.3890717298165,16,1.38629436111989,2,3.49650756146648,2,3,0
41125,160,0,0,0,1,0,0,0,0,0,0,1,1,1,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,1,1,1,1,0,1,"Entire_apt","Centrum-West","Entire_apartment",3,1,1,1,4,89,96,5.07517381523383,9,1.09861228866811,2,4.49980967033027,3,3,0
43109,211,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1,"Entire_apt","Centrum-West","Entire_apartment",4,1,2,4,3,60,98,5.35185813347607,16,1.38629436111989,2,4.11087386417331,3,3,0
43980,67,0,0,1,1,0,0,0,0,0,1,1,1,1,1,0,1,0,0,1,1,1,0,0,0,1,0,1,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,1,1,1,1,0,0,0,0,1,0,1,1,0,1,"Entire_apt","Zuid","Entire_apartment",2,1,1,2,30,61,80,4.20469261939097,4,0.693147180559945,2,4.12713438504509,3,3,0
44129,115,0,0,0,1,0,0,0,0,0,0,1,1,1,1,0,1,0,0,1,1,1,0,0,0,1,1,0,0,1,0,1,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,1,0,1,1,1,0,0,1,1,1,1,1,0,1,"Entire_apt","Centrum-West","Entire_apartment",2,1.5,1,1,4,178,98,4.74493212836325,4,0.693147180559945,2,5.18738580584075,3,3,0
46386,150,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,1,1,0,0,0,0,0,1,1,1,0,0,"Entire_apt","De Pijp - Rivierenbuurt","Entire_apartment",2,1,1,1,3,3,93,5.01063529409626,4,0.693147180559945,2,1.38629436111989,2,3,0
52490,75,0,0,0,0,1,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,1,1,1,0,1,"Private_room","Oostelijk Havengebied - Indische Buurt","Room_apartment",2,1,1,1,2,102,92,4.31748811353631,4,0.693147180559945,1,4.63472898822964,3,2,0
55256,90,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,"Private_room","Centrum-Oost","Room_apartment",2,1,1,1,1,179,92,4.49980967033027,4,0.693147180559945,1,5.19295685089021,3,1,0
55621,222,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,1,1,1,0,0,0,0,0,0,1,1,0,1,"Entire_apt","De Pijp - Rivierenbuurt","Entire_apartment",4,1,2,2,3,32,95,5.40267738187228,16,1.38629436111989,2,3.49650756146648,2,3,0
55807,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,"Private_room","De Baarsjes - Oud-West","Room_apartment",2,1,1,1,2,157,97,4.17438726989564,4,0.693147180559945,2,5.06259503302697,3,2,0
55868,149,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,"Entire_apt","Zuid","Entire_apartment",4,1.5,2,2,4,95,97,5.00394630594546,16,1.38629436111989,2,4.56434819146784,3,3,0
62015,135,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,0,0,0,0,1,0,0,0,1,0,1,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,1,1,1,0,0,0,0,1,1,1,1,0,1,"Entire_apt","Oud-Oost","Entire_apartment",2,1.5,1,1,3,30,98,4.90527477843843,4,0.693147180559945,2,3.43398720448515,2,3,0
67841,106,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,1,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,1,"Entire_apt","De Pijp - Rivierenbuurt","Entire_apartment",2,1,1,1,2,16,94,4.66343909411207,4,0.693147180559945,2,2.83321334405622,2,2,0
68290,66,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,1,1,1,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,1,1,1,0,1,"Private_room","Centrum-West","Room_apartment",2,1,1,2,1,659,96,4.18965474202643,4,0.693147180559945,1,6.49223983502047,3,1,0
68873,59,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,1,1,1,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,1,1,1,0,1,"Private_room","Centrum-West","Room_apartment",2,1,1,1,1,579,96,4.07753744390572,4,0.693147180559945,1,6.36302810354046,3,1,0
73208,220,0,0,1,1,0,0,1,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,1,1,1,0,0,0,0,1,1,1,1,0,1,"Entire_apt","Zuid","Entire_apartment",4,3,2,0,5,62,99,5.39362754635236,16,1.38629436111989,3,4.14313472639153,3,3,0
75382,55,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,0,0,0,1,0,0,1,0,1,0,0,0,1,0,1,1,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,1,1,1,1,0,0,0,0,1,1,1,0,0,1,"Private_room","Oud-Oost","Room_apartment",3,1,1,2,3,254,95,4.00733318523247,9,1.09861228866811,1,5.54126354515843,3,3,0
75444,70,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,1,0,0,1,"Private_room","Centrum-Oost","Room_apartment",2,1,1,1,3,324,94,4.24849524204936,4,0.693147180559945,1,5.78382518232974,3,3,0
75499,80,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,1,1,0,0,1,0,0,1,0,1,1,1,0,1,"Private_room","De Baarsjes - Oud-West","Room_apartment",2,1,1,1,4,33,99,4.38202663467388,4,0.693147180559945,1,3.52636052461616,2,3,0
82748,249,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,1,0,0,0,0,0,1,1,1,0,1,"Entire_apt","Centrum-West","Entire_apartment",4,1,1,2,3,131,96,5.51745289646471,16,1.38629436111989,2,4.88280192258637,3,3,0
83814,45,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,"Entire_apt","De Pijp - Rivierenbuurt","Entire_apartment",2,1,1,1,2,157,94,3.80666248977032,4,0.693147180559945,2,5.06259503302697,3,2,0
107195,150,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0,1,0,1,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,1,1,0,1,"Entire_apt","Centrum-Oost","Entire_apartment",2,1,1,1,2,37,95,5.01063529409626,4,0.693147180559945,2,3.63758615972639,2,2,0
108890,100,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1,"Entire_apt","De Baarsjes - Oud-West","Entire_apartment",4,1,1,2,5,3,100,4.60517018598809,16,1.38629436111989,2,1.38629436111989,2,3,0
130390,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1,"Private_room","De Pijp - Rivierenbuurt","Room_apartment",2,1,1,1,2,29,97,4.38202663467388,4,0.693147180559945,1,3.40119738166216,2,2,0
141708,145,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,1,"Entire_apt","Oostelijk Havengebied - Indische Buurt","Entire_apartment",3,1,2,2,4,86,95,4.97673374242057,9,1.09861228866811,2,4.46590811865458,3,3,0
148132,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,"Private_room","De Baarsjes - Oud-West","Room_apartment",2,1,1,1,2,4,95,3.61091791264422,4,0.693147180559945,1,1.6094379124341,2,2,0
155548,150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,"Entire_apt","Oud-Oost","Entire_apartment",2,1,1,1,7,21,95,5.01063529409626,4,0.693147180559945,2,3.09104245335832,2,3,0
162467,160,0,0,0,1,0,0,1,0,0,0,1,1,1,1,0,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,1,1,1,1,1,0,0,0,0,1,1,1,0,1,"Entire_apt","De Baarsjes - Oud-West","Entire_apartment",2,1,1,1,3,56,95,5.07517381523383,4,0.693147180559945,2,4.04305126783455,3,3,0
165833,112,0,0,0,0,0,0,1,0,0,0,1,1,1,1,0,1,0,0,0,1,1,0,0,0,1,0,1,0,1,0,1,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,1,"Entire_apt","De Baarsjes - Oud-West","Entire_apartment",4,2,3,4,2,41,97,4.71849887129509,16,1.38629436111989,3,3.73766961828337,2,2,0
171054,120,0,0,0,1,0,0,1,0,0,0,1,1,1,1,0,1,0,0,1,1,1,0,0,0,1,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,1,0,1,0,0,0,0,0,0,1,1,0,1,"Entire_apt","De Baarsjes - Oud-West","Entire_apartment",3,1,2,3,3,103,95,4.78749174278205,9,1.09861228866811,2,4.64439089914137,3,3,0
171498,249,0,0,0,1,0,0,1,0,0,0,1,1,1,1,0,1,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,1,1,1,1,0,0,0,0,0,0,1,1,0,0,"Entire_apt","Zuid","Entire_apartment",4,1.5,3,2,2,5,100,5.51745289646471,16,1.38629436111989,2,1.79175946922805,2,2,0
171631,97,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,1,0,0,1,0,0,0,0,0,1,0,1,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,1,1,1,1,1,0,0,0,0,1,1,1,1,0,1,"Entire_apt","De Baarsjes - Oud-West","Entire_apartment",6,1,3,3,4,48,96,4.57471097850338,36,1.79175946922805,2,3.89182029811063,2,3,0
