"id","neighbourhood_cleansed","latitude","longitude","property_type","room_type","accommodates","bathrooms_text","bedrooms","beds","price","minimum_nights","number_of_reviews","first_review","last_review","review_scores_rating","review_scores_accuracy","review_scores_cleanliness","review_scores_checkin","review_scores_communication","review_scores_location","review_scores_value","instant_bookable","Air_conditioning","Baby_monitor","Baby_safety_gates","Bathtub","Bed_linens","Breakfast","Building_staff","Carbon_monoxide_alarm","Changing_table","Children\u2019s_dinnerware","Cleaning_before_checkout","Coffee_maker","Cooking_basics","Dedicated_workspace","Dishes_and_silverware","Elevator","Essentials","Ethernet_connection","EV_charger","Extra_pillows_and_blankets","Fire_extinguisher","First_aid_kit","Free_residential_garage_on_premises","Game_console","Garden_or_backyard","Gym","Hangers","High_chair","Host_greets_you","Hot_tub","Hot_water","Indoor_fireplace","Iron","Kitchen","Lockbox","Long_term_stays_allowed","Luggage_dropoff_allowed","Microwave","Nespresso_coffee_machine","Outlet_covers","Patio_or_balcony","Private_entrance","Room-darkening_shades","Single_level_home","Smoke_alarm","Waterfront","stove_agg","Wifi_agg","TV_agg","oven_agg","refrigerator","soap_agg","BBQ_agg","toys_agg","crib_agg","parking_agg","shampoo_agg","heating_agg","washer_agg","conditioner_agg","dry_agg"
25428,"Centrum-West",52.37297,4.88339,"Entire apartment","Entire home/apt",3,"1 bath",1,1,125,14,5,"2018-01-21","2020-02-09",100,10,10,10,10,10,10,"f",0,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,0,0,1,1,0,0,0,0,0,1,0,0,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,0,0,0,0,0,1,1,1,0,1
31080,"Zuid",52.35132,4.84838,"Entire apartment","Entire home/apt",4,"1 bath",3,3,219,3,32,"2011-08-06","2017-10-16",95,9,10,10,10,9,9,"f",0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,1,1,1,1,0,0,0,0,0,1,1,1,0,1
41125,"Centrum-West",52.37891,4.88321,"Entire apartment","Entire home/apt",3,"1 bath",1,1,160,4,89,"2010-11-25","2020-02-10",96,10,10,10,10,10,9,"f",0,0,0,0,1,0,0,0,0,0,0,1,1,1,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,1,1,1,1,1,0,0,0,0,1,1,1,1,0,1
43109,"Centrum-West",52.37537,4.88932,"Entire apartment","Entire home/apt",4,"1 bath",2,4,211,3,60,"2019-10-23","2020-03-07",98,10,7,9,10,10,9,"f",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1
43980,"Zuid",52.35746,4.86124,"Entire apartment","Entire home/apt",2,"1 bath",1,2,67,30,61,"2010-11-01","2018-02-18",80,8,7,9,9,9,8,"f",0,0,0,1,1,0,0,0,0,0,1,1,1,1,1,0,1,0,0,1,1,1,0,0,0,0,1,0,1,0,1,0,1,1,0,1,0,0,0,0,1,1,0,0,1,0,1,1,1,1,1,0,0,0,0,1,0,1,1,0,1
44129,"Centrum-West",52.38071,4.8861,"Entire apartment","Entire home/apt",2,"1.5 baths",1,1,115,4,178,"2010-08-16","2020-10-26",98,10,10,10,10,10,9,"f",0,0,0,0,1,0,0,0,0,0,0,1,1,1,1,0,1,0,0,1,1,1,0,0,0,0,1,1,0,0,1,0,1,1,1,0,0,0,1,0,0,0,0,0,1,0,1,1,0,1,1,1,0,0,1,1,1,1,1,0,1
46386,"De Pijp - Rivierenbuurt",52.35247,4.90825,"Entire apartment","Entire home/apt",2,"1 bath",1,1,150,3,3,"2010-09-16","2018-01-03",93,10,9,9,9,8,8,"f",0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,1,0,1,1,1,0,0,0,0,0,1,1,1,0,0
55621,"De Pijp - Rivierenbuurt",52.35386,4.89772,"Entire apartment","Entire home/apt",4,"1 bath",2,2,222,3,32,"2010-11-19","2020-08-06",95,10,9,10,10,10,9,"f",0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,1,1,1,1,1,0,0,0,0,0,0,1,1,0,1
55868,"Zuid",52.35613,4.88515,"Entire apartment","Entire home/apt",4,"1.5 baths",2,2,149,4,95,"2011-01-03","2020-01-03",97,10,10,10,10,10,10,"f",0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1
62015,"Oud-Oost",52.36445,4.93124,"Entire apartment","Entire home/apt",2,"1.5 baths",1,1,135,3,30,"2011-01-03","2019-11-24",98,10,10,10,10,9,9,"f",0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,1,1,0,0,1,0,0,0,1,0,0,0,1,0,1,1,1,1,1,0,0,0,0,1,1,1,1,0,1
