comp_id,begin,end,COGS,amort,curr_assets,curr_liab,extra_exp,extra_inc,extra_profit_loss,finished_prod,fixed_assets,inc_bef_tax,intang_assets,inventories,liq_assets,material_exp,net_dom_sales,net_exp_sales,personnel_exp,profit_loss_year,sales,share_eq,subscribed_cap,tang_assets,wages,D,balsheet_flag,balsheet_length,balsheet_notfullyear,year,founded_year,exit_year,ceo_count,foreign,female,birth_year,inoffice_days,gender,origin,nace_main,ind2,ind,urban_m,region_m,founded_date,exit_date,labor_avg
1002029,1/1/2016,12/31/2016,NA,13788.88867,154807.4063,114803.7031,NA,NA,NA,NA,35200,-64614.81641,0,818.5184937,6466.666504,122655.5469,NA,NA,27155.55469,NA,181959.2656,75203.70313,11111.11133,35200,NA,NA,0,365,0,2016,2006,NA,1,0,0,1979,3802,male,Domestic,2711,27,2,3,East,7/3/2006,NA,0.229166672
1011889,1/1/2016,12/31/2016,NA,41744.44531,333125.9375,14703.7041,NA,NA,NA,NA,1118296.25,93211.10938,137.0370331,7651.852051,314962.9688,271722.2188,NA,NA,141085.1875,NA,561148.125,1436740.75,17481.48242,1118159.25,NA,NA,0,365,0,2016,1992,NA,1,0,0,1946,6198,male,Domestic,5510,55,3,2,West,11/9/1992,NA,1.576388836
1014183,1/1/2016,12/31/2016,NA,7603.703613,136862.9688,9133.333008,NA,NA,NA,NA,156011.1094,1062.963013,0,0,34640.74219,65937.03906,NA,NA,73337.03906,NA,129107.4063,319370.375,11111.11133,156011.1094,NA,NA,0,365,0,2016,2001,NA,1,0,0,1946,3594,male,Domestic,5510,55,3,2,Central,12/21/2001,NA,0.833333313
1046213,1/1/2016,12/31/2016,NA,175507.4063,3331607.5,1385155.5,NA,NA,NA,NA,2823203.75,356311.125,144.4444427,1639466.625,8625.925781,5276392.5,NA,NA,2623418.5,NA,9617204,3848203.75,22962.96289,2823059.25,NA,NA,0,365,0,2016,1998,NA,3,1,0,1941,2052.333252,male,Foreign,2920,29,1,3,Central,4/7/1998,NA,9.611110687
1272750,1/1/2016,12/31/2016,NA,0,17796.29688,39400,NA,NA,NA,NA,0,-7644.444336,0,11077.77734,222.222229,2300,NA,NA,10088.88867,NA,4940.740723,-21603.70313,1851.851807,0,NA,NA,0,365,0,2016,2011,NA,1,0,1,1958,1976,female,Domestic,5510,55,3,1,Central,7/26/2011,NA,0.131944448
1289273,1/1/2016,12/31/2016,NA,755.555542,21114.81445,18551.85156,NA,NA,NA,NA,2533.333252,6333.333496,0,1322.222168,18559.25977,64203.70313,NA,NA,43848.14844,NA,110162.9609,5096.296387,2444.444336,2533.333252,NA,NA,0,365,0,2016,1995,NA,1,0,0,1966,1508,male,Domestic,5629,56,3,3,Central,3/25/1995,NA,0.590277791
1303257,1/1/2016,12/31/2016,NA,0,51925.92578,49344.44531,NA,NA,NA,NA,0,-2107.407471,0,0,7170.370605,228111.1094,NA,NA,7270.370605,NA,233151.8594,2581.481445,1851.851807,0,NA,NA,0,365,0,2016,2013,NA,1,0,1,1985,1398,female,Domestic,5630,56,3,3,East,2/28/2013,NA,0.083333336
1388236,1/1/2016,12/31/2016,NA,16062.96289,22366.66602,9225.925781,NA,NA,NA,NA,165381.4844,-8414.814453,0,0,14722.22266,122096.2969,NA,NA,199514.8125,NA,333837.0313,124618.5234,11111.11133,165381.4844,NA,NA,0,365,0,2016,2008,NA,1,0,0,1974,3034,male,Domestic,2899,28,2,3,East,9/2/2008,NA,0.625
1613411,1/1/2016,12/31/2016,NA,6655.555664,71296.29688,16188.88867,NA,NA,NA,NA,18481.48242,10211.11133,0,1437.036987,48214.81641,39707.40625,NA,NA,0,NA,57751.85156,50796.29688,11111.11133,18481.48242,NA,NA,0,365,0,2016,2010,NA,1,0,0,1955,2244,male,Domestic,2740,27,2,1,Central,11/4/2010,NA,0
1645853,1/1/2016,12/31/2016,NA,4818.518555,19711.11133,32733.33398,NA,NA,NA,NA,64596.29688,-8429.629883,0,1966.666626,15818.51855,50018.51953,NA,NA,34666.66797,NA,84788.89063,50111.10938,57407.40625,64585.18359,NA,NA,0,365,0,2016,1989,NA,1,0,0,1966,5070,male,Domestic,5510,55,3,3,West,8/23/1989,NA,0.326388896
1840310,1/1/2016,12/31/2016,NA,374.0740662,53974.07422,48148.14844,NA,NA,NA,NA,288.8888855,-8014.814941,0,3674.073975,49929.62891,215870.375,NA,NA,7.50E+04,NA,291281.4688,-37570.37109,11111.11133,288.8888855,NA,NA,0,365,0,2016,2002,NA,2,0,0.5,1967.5,4104,mix,Domestic,5610,56,3,3,Central,12/31/2002,NA,1.104166627
1988363,1/1/2016,12/31/2016,NA,49381.48047,234111.1094,313637.0313,NA,NA,NA,NA,1573322.25,55511.10938,51.85185242,28788.88867,77455.55469,479355.5625,NA,NA,198488.8906,NA,797737.0625,1335266.625,11111.11133,1573270.375,NA,NA,0,365,0,2016,2003,NA,1,0,0,1962,4681,male,Domestic,9602,96,NA,1,Central,11/19/2003,NA,1.875
2123765,1/1/2016,12/31/2016,NA,807.4074097,3285.185303,2066.666748,NA,NA,NA,NA,911.111084,-2044.444458,0,1725.925903,1525.925903,48907.40625,NA,NA,12585.18555,NA,60648.14844,-3788.888916,11111.11133,911.111084,NA,NA,0,365,0,2016,2012,NA,1,0,0,1974,1475,male,Domestic,5610,56,3,3,West,12/12/2012,NA,0.159722224
2185769,1/1/2016,12/31/2016,NA,507.4074097,33333.33203,2714.814697,NA,NA,NA,NA,829.6296387,34900,0,0,19740.74023,9933.333008,NA,NA,19311.11133,NA,65925.92969,31448.14844,37.0370369,829.6296387,NA,NA,0,365,0,2016,1999,NA,1,0,0,1965,1434,male,Domestic,3320,33,2,2,Central,4/14/1999,NA,0
2293689,1/1/2016,12/31/2016,NA,785.1851807,10355.55566,940.7407227,NA,NA,NA,NA,2577.777832,2062.962891,0,6670.370605,3685.185303,49618.51953,NA,NA,15425.92578,NA,68325.92969,11992.59277,11111.11133,2577.777832,NA,NA,0,365,0,2016,2009,NA,1,0,0,1976,2572,male,Domestic,5610,56,3,3,East,12/16/2009,NA,0.152777776
2454300,1/1/2016,12/31/2016,NA,285.1851807,20529.62891,7466.666504,NA,NA,NA,NA,877.777771,2066.666748,0,10707.40723,9711.111328,57918.51953,NA,NA,29207.4082,NA,90237.03906,13940.74121,11111.11133,877.777771,NA,NA,0,365,0,2016,2011,NA,2,0,0.5,1971,1841,mix,Domestic,5630,56,3,3,East,12/15/2011,NA,0.319444448
2705005,1/1/2016,12/31/2016,NA,3018.518555,59188.89063,8785.185547,NA,NA,NA,NA,24822.22266,10566.66699,0,16218.51855,24362.96289,64725.92578,NA,NA,52370.37109,NA,132844.4375,71581.48438,11111.11133,24822.22266,NA,NA,0,365,0,2016,NA,NA,NA,NA,NA,NA,NA,,,3312,33,2,3,Central,12/16/1991,NA,0.666666687
2929590,1/1/2016,12/31/2016,NA,1396.296265,58070.37109,16522.22266,NA,NA,NA,NA,5481.481445,6600,0,45596.29688,592.5925903,114740.7422,NA,NA,50307.40625,NA,175444.4375,17696.29688,74.07407379,5481.481445,NA,NA,0,365,0,2016,1992,NA,1,0,0,1981,3512,male,Domestic,5610,56,3,1,Central,6/17/1992,NA,1.854166627
2959476,1/1/2016,12/31/2016,NA,10044.44434,213259.2656,4444.444336,NA,NA,NA,NA,26185.18555,9425.925781,0,53648.14844,117503.7031,201240.7344,NA,NA,53462.96484,NA,275181.4688,2.35E+05,370.3703613,26185.18555,NA,NA,0,365,0,2016,2.00E+03,NA,1,0,0,1974,3111,male,Domestic,2899,28,2,1,Central,2/29/2000,NA,0.5
3080595,1/1/2016,12/31/2016,NA,2148.148193,204085.1875,112514.8125,NA,NA,NA,NA,171518.5156,17070.37109,0,5533.333496,132218.5156,257559.2656,NA,NA,161718.5156,NA,509948.1563,264996.2813,11111.11133,171518.5156,NA,NA,0,365,0,2016,1991,NA,2,0,0,1940.5,4099.5,male,Domestic,2821,28,2,1,Central,12/19/1991,NA,0.833333313
