"model","year","price","transmission","mileage","fuelType","tax","mpg","engineSize","eng_1","eng_1.2","eng_1.3"
"Fiesta",2017,9000,"Manual",13054,"Petrol",145,54.3,1.2,0,0,1
"Fiesta",2018,11561,"Manual",18803,"Petrol",145,56.5,1,1,0,0
"Fiesta",2019,12500,"Manual",25521,"Petrol",145,55.4,1,1,0,0
"Fiesta",2018,9499,"Manual",20400,"Petrol",145,55.4,1.1,0,1,0
"Fiesta",2017,8995,"Manual",26163,"Petrol",145,65.7,1,1,0,0
"Fiesta",2017,8788,"Manual",15612,"Petrol",145,65.7,1,1,0,0
"Fiesta",2019,13540,"Manual",6923,"Petrol",145,58.9,1,1,0,0
"Fiesta",2016,6395,"Manual",31562,"Petrol",125,54.3,1.2,0,0,1
"Fiesta",2019,13498,"Manual",15822,"Petrol",145,58.9,1,1,0,0
"Fiesta",2018,12995,"Manual",14979,"Petrol",145,58.9,1,1,0,0
"Fiesta",2016,10798,"Manual",11843,"Petrol",0,65.7,1,1,0,0
"Fiesta",2017,11998,"Manual",6568,"Petrol",145,62.8,1,1,0,0
"Fiesta",2018,11995,"Manual",32168,"Petrol",145,65.7,1,1,0,0
"Fiesta",2019,13950,"Manual",6700,"Petrol",145,58.9,1,1,0,0
"Fiesta",2016,7995,"Manual",20700,"Petrol",125,54.3,1.2,0,0,1
"Fiesta",2018,11995,"Manual",31593,"Petrol",145,65.7,1,1,0,0
"Fiesta",2019,13998,"Manual",9957,"Petrol",145,58.9,1,1,0,0
"Fiesta",2017,10998,"Manual",10125,"Petrol",145,65.7,1,1,0,0
"Fiesta",2019,14698,"Manual",7872,"Petrol",145,58.9,1,1,0,0
"Fiesta",2016,7998,"Manual",16070,"Petrol",125,54.3,1.2,0,0,1
"Fiesta",2017,10998,"Manual",19140,"Petrol",145,62.8,1,1,0,0
"Fiesta",2017,10298,"Manual",9148,"Petrol",145,65.7,1,1,0,0
"Fiesta",2017,8998,"Manual",5233,"Petrol",125,54.3,1.2,0,0,1
"Fiesta",2018,12498,"Manual",17918,"Petrol",145,65.7,1,1,0,0
"Fiesta",2019,17498,"Manual",3265,"Petrol",145,58.9,1,1,0,0
"Fiesta",2018,14498,"Manual",9428,"Petrol",145,62.8,1,1,0,0
"Fiesta",2017,8498,"Manual",32538,"Petrol",0,65.7,1,1,0,0
"Fiesta",2019,11798,"Manual",4590,"Petrol",150,48.7,1.1,0,1,0
"Fiesta",2019,11898,"Manual",3396,"Petrol",150,48.7,1.1,0,1,0
"Fiesta",2019,13298,"Manual",7349,"Petrol",145,58.9,1,1,0,0
"Fiesta",2017,9598,"Manual",14403,"Petrol",145,64.2,1.1,0,1,0
"Fiesta",2018,9949,"Manual",27399,"Petrol",145,64.2,1.1,0,1,0
"Fiesta",2018,10990,"Manual",28138,"Petrol",145,56.5,1,1,0,0
"Fiesta",2019,14698,"Manual",8725,"Petrol",145,58.9,1,1,0,0
"Fiesta",2018,11995,"Manual",12080,"Petrol",150,65.7,1,1,0,0
"Fiesta",2016,8300,"Manual",43121,"Petrol",0,65.7,1,1,0,0
"Fiesta",2019,13998,"Manual",5887,"Petrol",145,58.9,1,1,0,0
"Fiesta",2017,9700,"Manual",28186,"Petrol",0,65.7,1,1,0,0
"Fiesta",2015,9200,"Manual",21261,"Petrol",0,65.7,1,1,0,0
"Fiesta",2019,13698,"Manual",12232,"Petrol",145,58.9,1,1,0,0
"Fiesta",2019,11698,"Manual",3578,"Petrol",150,48.7,1.1,0,1,0
"Fiesta",2019,14998,"Manual",7953,"Petrol",145,60.1,1,1,0,0
"Fiesta",2016,7998,"Manual",21446,"Petrol",125,54.3,1.2,0,0,1
"Fiesta",2019,12498,"Manual",7941,"Petrol",145,58.9,1,1,0,0
"Fiesta",2017,8998,"Manual",20507,"Petrol",125,54.3,1.2,0,0,1
"Fiesta",2017,7490,"Manual",28842,"Petrol",0,65.7,1,1,0,0
"Fiesta",2015,8298,"Manual",13118,"Petrol",0,65.7,1,1,0,0
"Fiesta",2017,7798,"Manual",11085,"Petrol",125,54.3,1.2,0,0,1
"Fiesta",2017,11495,"Manual",11476,"Petrol",145,65.7,1,1,0,0
"Fiesta",2017,8250,"Manual",32994,"Petrol",145,64.2,1.1,0,1,0
"Fiesta",2019,13898,"Manual",14698,"Petrol",145,58.9,1,1,0,0
"Fiesta",2019,14998,"Manual",8389,"Petrol",145,60.1,1,1,0,0
"Fiesta",2017,9298,"Manual",6213,"Petrol",125,54.3,1.2,0,0,1
"Fiesta",2015,6798,"Manual",37313,"Petrol",0,65.7,1,1,0,0
"Fiesta",2018,10998,"Manual",10970,"Petrol",145,58.9,1,1,0,0
"Fiesta",2016,8998,"Manual",12163,"Petrol",125,54.3,1.2,0,0,1
"Fiesta",2019,14998,"Manual",5721,"Petrol",145,60.1,1,1,0,0
"Fiesta",2015,7498,"Manual",23764,"Petrol",125,54.3,1.2,0,0,1
"Fiesta",2017,10798,"Manual",20241,"Petrol",145,65.7,1,1,0,0
"Fiesta",2017,10998,"Manual",2360,"Petrol",150,65.7,1,1,0,0
"Fiesta",2017,10698,"Manual",6991,"Petrol",145,65.7,1,1,0,0
"Fiesta",2016,8998,"Manual",19882,"Petrol",0,65.7,1,1,0,0
"Fiesta",2015,7324,"Manual",27128,"Petrol",0,65.7,1,1,0,0
"Fiesta",2018,10998,"Manual",16658,"Petrol",145,65.7,1,1,0,0
"Fiesta",2019,12698,"Manual",7942,"Petrol",145,56.5,1,1,0,0
"Fiesta",2019,11998,"Manual",9501,"Petrol",145,58.9,1,1,0,0
"Fiesta",2017,10598,"Manual",11544,"Petrol",145,65.7,1,1,0,0
"Fiesta",2018,10698,"Manual",14523,"Petrol",145,65.7,1,1,0,0
"Fiesta",2017,10498,"Manual",22788,"Petrol",145,65.7,1,1,0,0
"Fiesta",2019,11498,"Manual",14132,"Petrol",145,58.9,1,1,0,0
"Fiesta",2017,7695,"Manual",12868,"Petrol",125,54.3,1.2,0,0,1
"Fiesta",2017,8498,"Manual",21302,"Petrol",125,54.3,1.2,0,0,1
"Fiesta",2018,9698,"Manual",11783,"Petrol",150,64.2,1.1,0,1,0
"Fiesta",2015,8326,"Manual",25604,"Petrol",0,65.7,1,1,0,0
"Fiesta",2017,8498,"Manual",14110,"Petrol",150,54.3,1.2,0,0,1
"Fiesta",2017,9157,"Manual",14330,"Petrol",0,65.7,1,1,0,0
"Fiesta",2018,10498,"Manual",7654,"Petrol",150,55.4,1.1,0,1,0
"Fiesta",2018,12500,"Manual",33095,"Petrol",145,65.7,1,1,0,0
"Fiesta",2018,10000,"Manual",21763,"Petrol",145,65.7,1,1,0,0
"Fiesta",2015,7850,"Manual",19810,"Petrol",30,54.3,1.2,0,0,1
"Fiesta",2017,9000,"Manual",15378,"Petrol",0,65.7,1,1,0,0
"Fiesta",2018,10998,"Manual",25642,"Petrol",145,65.7,1,1,0,0
"Fiesta",2018,10850,"Manual",12946,"Petrol",145,65.7,1,1,0,0
"Fiesta",2018,9650,"Manual",15237,"Petrol",145,64.2,1.1,0,1,0
"Fiesta",2018,10000,"Manual",27843,"Petrol",145,65.7,1,1,0,0
"Fiesta",2016,8498,"Manual",20447,"Petrol",125,54.3,1.2,0,0,1
"Fiesta",2018,9000,"Manual",10945,"Petrol",145,64.2,1.1,0,1,0
"Fiesta",2018,10450,"Manual",20000,"Petrol",145,65.7,1,1,0,0
"Fiesta",2018,10650,"Manual",11451,"Petrol",145,65.7,1,1,0,0
"Fiesta",2017,8850,"Manual",16913,"Petrol",125,54.3,1.2,0,0,1
"Fiesta",2016,9998,"Manual",24242,"Petrol",0,65.7,1,1,0,0
"Fiesta",2018,10498,"Manual",8163,"Petrol",150,55.4,1.1,0,1,0
"Fiesta",2016,7298,"Manual",33349,"Petrol",125,54.3,1.2,0,0,1
"Fiesta",2015,6999,"Manual",27425,"Petrol",125,54.3,1.2,0,0,1
"Fiesta",2016,8990,"Manual",7872,"Petrol",0,65.7,1,1,0,0
"Fiesta",2019,10850,"Manual",14669,"Petrol",145,58.9,1,1,0,0
"Fiesta",2016,7495,"Manual",28805,"Petrol",125,54.3,1.2,0,0,1
"Fiesta",2019,12991,"Manual",13505,"Petrol",150,58.9,1,1,0,0
"Fiesta",2018,11030,"Manual",20271,"Petrol",145,65.7,1,1,0,0
"Fiesta",2016,7998,"Manual",20777,"Petrol",125,54.3,1.2,0,0,1
"Fiesta",2017,10491,"Manual",13326,"Petrol",145,65.7,1,1,0,0
"Fiesta",2018,9981,"Manual",4399,"Petrol",145,64.2,1.1,0,1,0
"Fiesta",2018,12990,"Manual",11814,"Petrol",145,57.7,1,1,0,0
"Fiesta",2018,9880,"Manual",20860,"Petrol",145,65.7,1,1,0,0
"Fiesta",2017,11000,"Manual",10802,"Petrol",145,65.7,1,1,0,0
"Fiesta",2019,15050,"Manual",11559,"Petrol",145,58.9,1,1,0,0
"Fiesta",2018,10498,"Manual",11421,"Petrol",145,65.7,1,1,0,0
"Fiesta",2019,13998,"Manual",9500,"Petrol",150,56.5,1,1,0,0
"Fiesta",2016,7498,"Manual",25123,"Petrol",125,54.3,1.2,0,0,1
"Fiesta",2016,11298,"Manual",5796,"Petrol",20,62.8,1,1,0,0
"Fiesta",2017,9998,"Manual",17265,"Petrol",145,65.7,1,1,0,0
