"","model_name","make_year","car_price","age"
"1","Ford Fusion",2017,14399,3
"2","Ford Fusion",2018,15995,2
"3","Ford Fusion",2017,12980,3
"4","Ford Fusion",2013,9494,7
"5","Ford Fusion",2019,16000,1
"6","Ford Fusion",2013,6500,7
"7","Ford Fusion",2015,8000,5
"8","Ford Fusion",2014,11990,6
"9","Ford Fusion",2017,8997,3
"10","Ford Fusion",2015,9999,5
"11","Ford Fusion",2015,8990,5
"12","Ford Fusion",2013,6998,7
"13","Ford Fusion",2019,13697,1
"14","Ford Fusion",2019,16397,1
"15","Ford Fusion",2014,12929,6
"16","Ford Fusion",2014,4987,6
"17","Ford Fusion",2010,4900,10
"18","Ford Fusion",2016,9499,4
"19","Ford Fusion",2014,7588,6
"20","Ford Fusion",2010,3200,10
"21","Ford Fusion",2019,15997,1
"22","Ford Fusion",2019,14525,1
"23","Ford Fusion",2012,6990,8
"24","Ford Fusion",2015,8900,5
"25","Ford Fusion",2019,13797,1
"26","Ford Fusion",2010,5629,10
"27","Ford Fusion",2013,4900,7
"28","Ford Fusion",2020,14197,0
"29","Ford Fusion",2010,5495,10
"30","Ford Fusion",2012,4750,8
"31","Ford Fusion",2008,3349,12
"32","Ford Fusion",2016,7996,4
"33","Ford Fusion",2019,14992,1
"34","Ford Fusion",2014,7500,6
"35","Ford Fusion",2010,4495,10
"36","Ford Fusion",2013,7977,7
"37","Ford Fusion",2010,5991,10
"38","Ford Fusion",2017,8500,3
"39","Ford Fusion",2012,8990,8
"40","Ford Fusion",2013,7998,7
"41","Ford Fusion",2015,9995,5
"42","Ford Fusion",2016,10000,4
"43","Ford Fusion",2009,4238,11
"44","Ford Fusion",2015,7995,5
"45","Ford Fusion",2011,6950,9
"46","Ford Fusion",2017,7995,3
"47","Ford Fusion",2010,5995,10
"48","Ford Fusion",2012,4995,8
"49","Ford Fusion",2018,12000,2
"50","Ford Fusion",2016,8699,4
"51","Ford Fusion",2020,16397,0
"52","Ford Fusion",2019,13990,1
"53","Ford Fusion",2017,13558,3
"54","Ford Fusion",2014,7777,6
"55","Ford Fusion",2016,10000,4
"56","Ford Fusion",2014,8680,6
"57","Ford Fusion",2008,2999,12
"58","Ford Fusion",2011,5000,9
"59","Ford Fusion",2017,10999,3
"60","Ford Fusion",2013,10595,7
"61","Ford Fusion",2015,10999,5
"62","Ford Fusion",2019,14250,1
"63","Ford Fusion",2012,3800,8
"64","Ford Fusion",2013,8101,7
"65","Ford Fusion",2016,8400,4
"66","Ford Fusion",2017,11998,3
"67","Ford Fusion",2014,9995,6
"68","Ford Fusion",2012,5999,8
"69","Ford Fusion",2014,10590,6
"70","Ford Fusion",2011,7632,9
"71","Ford Fusion",2016,8990,4
"72","Ford Fusion",2006,2998,14
"73","Ford Fusion",2017,9976,3
"74","Ford Fusion",2014,6995,6
"75","Ford Fusion",2012,6299,8
"76","Ford Fusion",2019,15170,1
"77","Ford Fusion",2017,9900,3
"78","Ford Fusion",2010,6995,10
"79","Ford Fusion",2019,16996,1
"80","Ford Fusion",2012,7935,8
"81","Ford Fusion",2018,14000,2
"82","Ford Fusion",2011,3495,9
"83","Ford Fusion",2018,16000,2
"84","Ford Fusion",2013,7500,7
"85","Ford Fusion",2013,9990,7
"86","Ford Fusion",2011,5900,9
"87","Ford Fusion",2019,16494,1
"88","Ford Fusion",2013,9495,7
"89","Ford Fusion",2012,4999,8
"90","Ford Fusion",2016,7455,4
"91","Ford Fusion",2017,9821,3
"92","Ford Fusion",2019,14999,1
"93","Ford Fusion",2017,7897,3
"94","Ford Fusion",2014,8888,6
"95","Ford Fusion",2013,7993,7
"96","Ford Fusion",2013,7900,7
"97","Ford Fusion",2014,10000,6
"98","Ford Fusion",2019,14982,1
"99","Ford Fusion",2010,3995,10
"100","Ford Fusion",2017,15985,3
"101","Ford Fusion",2014,7995,6
"102","Ford Fusion",2013,7500,7
"103","Ford Fusion",2018,12294,2
